Field_Category,Field_Name,Field_Type,Required,Description,Example_Value,Notes
Basic_Info,name,text,Yes,Official country name,Singapore,
Basic_Info,flag,text,Yes,Country flag emoji,🇸🇬,
Basic_Info,slug,text,Yes,URL-friendly identifier,singapore,lowercase-with-hyphens
Basic_Info,region,text,Yes,Geographical region,Asia,"Options: Asia, Europe, Africa, Americas, Oceania"
Basic_Info,visa_required,boolean,Yes,Whether visa is required,true,"true or false"
Basic_Info,summary,text,Yes,Brief country visa summary,Indian passport holders must obtain a Singapore visa before traveling.,
Meta_Info,meta_title,text,No,SEO page title,Singapore Visa for Indians - Requirements & Process,
Meta_Info,meta_description,text,No,SEO meta description,Complete guide to Singapore visa requirements for Indian citizens. Processing time 3-5 days.,
Meta_Info,keywords,text,No,SEO keywords (comma separated),singapore visa,tourist visa,business visa,
Admin,published,boolean,Yes,Whether country is published,true,"true or false"
Admin,featured,boolean,No,Whether country is featured,false,"true or false"
Visa_Type_1,vt1_name,text,No,First visa type name,Tourist Visa,
Visa_Type_1,vt1_purpose,text,No,Purpose of visa,Tourism and family visits,
Visa_Type_1,vt1_entry_type,text,No,Entry type,Single/Multiple,"Single, Multiple, or Single/Multiple"
Visa_Type_1,vt1_validity,text,No,Visa validity period,30 days to 2 years,
Visa_Type_1,vt1_stay_duration,text,No,Maximum stay duration,30 days per visit,
Visa_Type_1,vt1_extendable,boolean,No,Can visa be extended,false,"true or false"
Visa_Type_1,vt1_conditions,text,No,Special conditions (pipe separated),Must have confirmed return ticket|Sufficient funds required,Use | to separate multiple conditions
Visa_Type_1,vt1_notes,text,No,Additional notes,Validity decided by immigration based on travel history,
Visa_Type_1,vt1_processing_time,text,No,Processing time,3-5 working days,
Visa_Type_2,vt2_name,text,No,Second visa type name,Business Visa,
Visa_Type_2,vt2_purpose,text,No,Purpose of visa,Business meetings and conferences,
Visa_Type_2,vt2_entry_type,text,No,Entry type,Single/Multiple,
Visa_Type_2,vt2_validity,text,No,Visa validity period,30 days to 2 years,
Visa_Type_2,vt2_stay_duration,text,No,Maximum stay duration,30 days per visit,
Visa_Type_2,vt2_extendable,boolean,No,Can visa be extended,false,
Visa_Type_2,vt2_conditions,text,No,Special conditions (pipe separated),Must have business invitation|Valid employment proof,
Visa_Type_2,vt2_notes,text,No,Additional notes,,
Visa_Type_2,vt2_processing_time,text,No,Processing time,3-5 working days,
Visa_Type_3,vt3_name,text,No,Third visa type name,Transit Visa,
Visa_Type_3,vt3_purpose,text,No,Purpose of visa,Transit through country,
Visa_Type_3,vt3_entry_type,text,No,Entry type,Single,
Visa_Type_3,vt3_validity,text,No,Visa validity period,96 hours,
Visa_Type_3,vt3_stay_duration,text,No,Maximum stay duration,96 hours,
Visa_Type_3,vt3_extendable,boolean,No,Can visa be extended,false,
Visa_Type_3,vt3_conditions,text,No,Special conditions (pipe separated),Must have onward flight|Valid visa for destination country,
Visa_Type_3,vt3_notes,text,No,Additional notes,Only for connecting flights,
Visa_Type_3,vt3_processing_time,text,No,Processing time,At airport,
Documents,doc1_name,text,No,First document name,Passport,
Documents,doc1_required,boolean,No,Is document required,true,
Documents,doc1_category,text,No,Document category,mandatory,"mandatory, for_minors, for_business, conditional"
Documents,doc1_details,text,No,Document details,Valid for at least 6 months with 2 blank pages,
Documents,doc1_format,text,No,Required format,original,"original, photocopy, scan"
Documents,doc2_name,text,No,Second document name,Visa Application Form,
Documents,doc2_required,boolean,No,Is document required,true,
Documents,doc2_category,text,No,Document category,mandatory,
